	DJIA	CPI	REAL DJIA
Сентябрь 1964	6,774646654	3,437207819	8,791938031
Октябрь 1964	6,77202719	3,437207819	8,789318567
Ноябрь 1964	6,774715194	3,440418095	8,788796296
Декабрь 1964	6,773229106	3,440418095	8,787310208
Январь 1965	6,805567503	3,440418095	8,819648604
Февраль 1965	6,806253974	3,440418095	8,820335075
Март 1965	6,790153477	3,443618098	8,801034576
Апрель 1965	6,826881393	3,446807893	8,834572696
Май 1965	6,822240963	3,446807893	8,829932266
Июнь 1965	6,766226276	3,453157121	8,767568352
Июль 1965	6,781897228	3,453157121	8,783239304
Август 1965	6,794698557	3,453157121	8,796040633
Сентябрь 1965	6,835808048	3,453157121	8,837150124
Октябрь 1965	6,867787087	3,456316681	8,865969602
Ноябрь 1965	6,852992816	3,456316681	8,851175332
Декабрь 1965	6,876532894	3,45946629	8,8715658
Январь 1966	6,891127806	3,45946629	8,886160712
Февраль 1966	6,858449482	3,465735903	8,847212776
Март 1966	6,829545058	3,46885603	8,815188224
Апрель 1966	6,839133767	3,47506723	8,818565733
Май 1966	6,784536245	3,47506723	8,763968211
Июнь 1966	6,768608148	3,478158423	8,744948921
Июль 1966	6,742149236	3,481240089	8,715408343
Август 1966	6,670018259	3,487375078	8,637142378
Сентябрь 1966	6,651856071	3,487375078	8,61898019
Октябрь 1966	6,693410406	3,493472658	8,654436944
Ноябрь 1966	6,674043581	3,493472658	8,63507012
Декабрь 1966	6,666562313	3,493472658	8,627588851
Январь 1967	6,745106929	3,493472658	8,706133468
Февраль 1967	6,73265161	3,493472658	8,693678149
Март 1967	6,763861814	3,496507561	8,721853449
Апрель 1967	6,799111602	3,499533282	8,754077516
Май 1967	6,748243588	3,502549876	8,700192908
Июнь 1967	6,757234669	3,505557397	8,706176469
Июль 1967	6,807094812	3,5085559	8,753038108
Август 1967	6,80382707	3,511545439	8,746780828
Сентябрь 1967	6,831586724	3,514526067	8,771559853
Октябрь 1967	6,779626409	3,517497837	8,716627768
